,Date,Open,High,Low,Close,Adj Close,Volume
905,20211001,1465.0,1468.75,1422.650024,1458.699951,1458.080078,2311858
906,20211004,1471.0,1531.0,1460.099976,1526.650024,1526.001343,3209302
907,20211005,1515.0,1557.849976,1512.349976,1527.650024,1527.000854,2544835
908,20211006,1529.800049,1541.0,1472.0,1479.550049,1478.921387,1777998
909,20211007,1502.849976,1535.75,1490.0,1520.75,1520.10376,1919106
910,20211008,1522.0,1569.449951,1511.449951,1547.900024,1547.24231,2646112
911,20211011,1553.0,1563.699951,1532.150024,1539.75,1539.095703,1910095
912,20211012,1539.0,1566.900024,1514.5,1554.449951,1553.789429,1900749
913,20211013,1568.449951,1608.300049,1551.300049,1569.699951,1569.032959,3923958
914,20211014,1580.0,1656.0,1574.800049,1646.349976,1645.650391,5256882
915,20211018,1672.949951,1672.949951,1608.550049,1615.5,1614.813599,3791222
916,20211019,1625.199951,1637.0,1562.050049,1569.449951,1568.783081,1822638
917,20211020,1574.0,1607.349976,1539.099976,1589.699951,1589.024414,2768997
918,20211021,1601.949951,1626.849976,1581.699951,1595.050049,1594.372314,3129269
919,20211022,1595.050049,1608.800049,1537.0,1543.0,1542.34436,2580699
920,20211025,1545.0,1551.400024,1494.050049,1532.199951,1531.548828,2276050
921,20211026,1532.0,1557.25,1520.900024,1543.849976,1543.19397,1661783
922,20211027,1548.0,1581.150024,1540.0,1566.550049,1565.884399,2121282
923,20211028,1550.0,1566.900024,1367.699951,1398.550049,1397.955811,7093354
924,20211029,1400.0,1454.800049,1377.75,1423.599976,1422.995117,3165141
925,20211101,1436.0,1457.0,1411.199951,1445.300049,1444.685913,1543436
926,20211102,1455.0,1489.0,1452.800049,1472.800049,1472.174194,1667692
927,20211103,1474.0,1501.0,1464.449951,1485.900024,1485.268677,1710819
928,20211104,1495.0,1511.5,1483.0,1489.449951,1488.817017,272261
929,20211108,1495.0,1575.150024,1485.650024,1568.25,1567.583618,2565017
930,20211109,1555.0,1659.0,1554.949951,1635.449951,1634.755005,4713708
931,20211110,1625.550049,1686.0,1620.400024,1655.849976,1655.146362,3728328
932,20211111,1650.0,1704.0,1640.849976,1664.900024,1664.192627,4470709
933,20211112,1678.300049,1719.5,1670.099976,1705.199951,1704.475342,5349189
934,20211115,1713.75,1764.0,1691.800049,1749.550049,1748.806641,3997553
935,20211116,1759.449951,1766.550049,1706.900024,1711.599976,1710.872681,2172117
936,20211117,1714.0,1729.699951,1682.5,1706.449951,1705.724854,1476385
937,20211118,1708.0,1714.0,1640.0,1688.75,1688.032471,2255988
938,20211122,1691.400024,1701.400024,1610.050049,1675.75,1675.037964,2552170
939,20211123,1660.150024,1720.349976,1650.0,1707.949951,1707.224243,2472589
940,20211124,1721.599976,1788.900024,1712.449951,1755.150024,1754.404175,4562858
941,20211125,1762.949951,1773.699951,1735.550049,1763.050049,1762.300903,2341862
942,20211126,1740.0,1768.550049,1660.849976,1669.550049,1668.840576,3510810
943,20211129,1655.0,1697.0,1609.849976,1665.050049,1664.342529,2119826
944,20211130,1668.0,1718.650024,1648.150024,1662.849976,1662.143433,2952368
945,20211201,1694.0,1705.0,1652.349976,1693.300049,1692.580566,2476360
946,20211202,1692.5,1735.0,1687.650024,1732.25,1731.513916,2159661
947,20211203,1734.0,1745.0,1701.099976,1708.099976,1707.374146,1544077
948,20211206,1710.0,1727.949951,1640.0,1645.599976,1644.900757,1574680
949,20211207,1658.900024,1686.699951,1654.0,1678.449951,1677.736694,1476012
950,20211208,1679.800049,1726.400024,1679.050049,1715.5,1714.770996,1406394
951,20211209,1725.0,1739.25,1706.599976,1722.25,1721.518188,1306393
952,20211210,1710.599976,1788.0,1710.599976,1740.400024,1739.660522,2708578
953,20211213,1755.0,1762.199951,1711.099976,1719.550049,1718.819336,1104594
954,20211214,1712.0,1727.900024,1683.0,1720.099976,1719.369019,1198653
955,20211215,1720.0,1727.0,1687.050049,1695.300049,1694.579712,866378
956,20211216,1707.300049,1719.849976,1687.0,1702.050049,1701.326782,751885
957,20211217,1698.949951,1702.0,1640.0,1645.300049,1644.600952,1215873
958,20211220,1629.0,1629.0,1555.199951,1589.949951,1589.274292,1945211
959,20211221,1621.099976,1645.900024,1602.900024,1620.5,1619.811401,1563851
960,20211222,1631.25,1663.449951,1627.0,1658.099976,1657.395386,993006
